id,language,current_emotion,transcript,true_emotion,notes
en_air_talk_0002,en,neutral,"Good evening, on the National Program of Talks tonight, we will be discussing content versus candy floss as the present progress in Indian writing in English. I'm Renuka.",,
en_mahabharata_0019,en,neutral,"He stood in front of the gorgeous lady and asked, whoever you are my lady, I am in love with you and I cannot live a single moment without you. Please, please marry me and save my life.",,
en_mahabharata_e67_0036,en,neutral,"Arjun was baffled.
Krishna elaborated.
Bheem Sen's son, the giant Rakshas, Ghatotkach is an indomitable fighter.
He has a wide array of weapons at his disposal and he possesses magical powers.
He should be able to overpower Karna and defeat him.",,
en_nptel_0024,en,neutral,An alternate definition of software engineering can be that it is a collection of past experience.,,
en_mahabharata_0004,en,happy,"I have composed this wonderful poem, an epic. It is the story of mankind, the story of our humanity.",,
en_mahabharata_0029,en,happy,"When Shantanu heard the news that his wife has given birth to a beautiful little boy, he left his court and ran to the birthing chamber.",,
en_mahabharata_e69_0000,en,happy,Welcome dear friends to another episode of the stories of Mahabharata.,,
en_nptel_0011,en,happy,with a building construction. Let's say you want to construct a building.,,
en_mahabharata_0021,en,sad,"The lady smiled and said, I am flattered, oh king. But I have a couple of conditions for any suitor who wants to marry me.",,
en_mahabharata_0039,en,sad,"The queen stopped and said, but you've promised.",,
en_mahabharata_e67_0005,en,sad,"Dron was tired of listening to Duryodhan's complaints. 
Stop bickering, Duryodhan. 
You don't have to teach me about my responsibilities. 
You have seen for yourself with Krishna's support the Pandavas are invincible. 
You along with six of the greatest Kaurava warriors failed to protect Jayadrath. 
Still you blame me.",,
en_mahabharata_e69_0004,en,sad,"And this time, he was determined not to pick anyone who sympathized with the Pandavas.",,
en_air_talk_0001,en,angry,"eminent publisher and Renuka Narayanan, writer and columnist, who initiates and moderates this panel discussion.",,
en_mahabharata_e67_0003,en,angry,"I understand I'm not the righteous kind of man whom you'd lend your support. 
I also understand that Arjun is your favorite student and you can't kill him. 
But instead of individuals, you should think about your loyalty to the land.",,
en_mahabharata_e67_0034,en,angry,"I can't hide away from Karna just because he has this weapon, said Arjun. You know very well that only I can stop Karna and defeat him. No other human being can kill him.",,
en_mahabharata_e69_0038,en,angry,"back and was struggling to stand on his feet. Krishna circled his chariot back and said, focus Arjun, focus on Nasrottama. You have been taking him too lightly.",,
en_air_talk_0033,en,excited,"does not appeal to a modern larger Indian readership. That is what we are told, but even now I love to read a Premchand story and even to see these little films that have been made on his stories. There's something that touches my soul because that's for me.",,
en_mahabharata_0030,en,excited,"But as he entered the room, he saw his queen pick up the newborn baby, wrap him in a shawl, and walk out of the room. Shantanu was about to ask where she was going.",,
en_mahabharata_e67_0027,en,excited,"Arjun knew Yudhishthir was serious. 
He looked at Krishna and said, Krishna, take me to Karna tonight, either I will kill Karna or he'll kill me. 
Krishna looked at Yudhishthir and said, don't worry Yudhishthir, we'll take care of Karna. 
You should go to your tent and take some rest.",,
en_mahabharata_e69_0025,en,excited,"With the sound of the conch shells ringing out across the Kurukshetra, the two armies clashed for the 16th time. The soldiers pounced upon each other like fierce animals.",,
en_air_talk_0005,en,calm,"What seems to be the pattern in Indian writing in English from the 20th century? Earlier we had eminences like R. K. Narayan, Raja Rao, Mulk Raj Anand, in my view, niche writers, and they seem to carry",,
en_mahabharata_0026,en,calm,"Do you think you can agree to these conditions? The infatuated king didn't have the patience to think through. He said, I agree.",,
en_mahabharata_e67_0040,en,calm,I know your powers amplify during the night. So this is the best time to exercise your strength and your magic.,,
en_nptel_0000,en,calm,I will be the instructor for this course. My name is Rajeev Mal.,,
en_air_talk_0034,en,fearful,"Mind you, that's a good point. We as an older generation conditioned to accept the earlier streams of writing as literature, and do we then by default turn up our noses at present crop of writers, or does it have to do with",,
en_mahabharata_0014,en,fearful,"Even the God Ganesha had to stop and think to decipher those phrases, while Vyasa composed few more in his mind.",,
